sample_uid	sample_gid	HT	lib type	LN_ID	sample_uid_final
TBd6_fresh_SP	TBd6_fresh_SP	0	GEX	-	TBd6_fresh_SP
TBd6_fresh_SP	TBd6_fresh_SP	0	VDJ	-	TBd6_fresh_SP
TBd6_fresh_SPover	TBd6_fresh_SPover	0	VDJ	-	TBd6_fresh_SPover
TBd6_frozen_MLN	TBd6_frozen_MLN	1	GEX	MELN1	TBd5_frozen_MELN1_HT
TBd6_frozen_MLNa	TBd6_frozen_MLNa	1	VDJ	MELN1	TBd5_frozen_MELN1_HTa
TBd6_frozen_MLNa	TBd6_frozen_MLNa	1	VDJ	MELN1	TBd5_frozen_MELN1_HTb
TBd6_frozen_MLNoverA	TBd6_frozen_MLNoverA	1	VDJ	MELN1	TBd5_frozen_MELN1over_HTa
TBd6_frozen_MLNoverB	TBd6_frozen_MLNoverB	1	VDJ	MELN1	TBd5_frozen_MELN1over_HTb
TBd6_frozen_SLN1	TBd6_frozen_SLN1	1	GEX	SDLN1	TBd6_frozen_SDLN1_HT
TBd6_frozen_SLN1a	TBd6_frozen_SLN1a	1	VDJ	SDLN1	TBd6_frozen_SDLN1_HTa
TBd6_frozen_SLN1b	TBd6_frozen_SLN1b	1	VDJ	SDLN1	TBd6_frozen_SDLN1_HTb
TBd6_frozen_SLN1overA	TBd6_frozen_SLN1overA	1	VDJ	SDLN1	TBd6_frozen_SDLN1over_HTa
TBd6_frozen_SLN1overB	TBd6_frozen_SLN1overB	1	VDJ	SDLN1	TBd6_frozen_SDLN1over_HTb
TBd6_frozen_SLN2	TBd6_frozen_SLN2	1	GEX	SDLN2	TBd6_frozen_SDLN2_HT
TBd6_frozen_SLN2a	TBd6_frozen_SLN2a	1	VDJ	SDLN2	TBd6_frozen_SDLN2_HTa
TBd6_frozen_SLN2a	TBd6_frozen_SLN2a	1	VDJ	SDLN2	TBd6_frozen_SDLN2_HTb
TBd6_frozen_SLN2overA	TBd6_frozen_SLN2overA	1	VDJ	SDLN2	TBd6_frozen_SDLN2over_HTa
TBd6_frozen_SLN2overA	TBd6_frozen_SLN2overA	1	VDJ	SDLN2	TBd6_frozen_SDLN2over_HTb
TBd7_BM_HL	TBd7_BM_HL	1	GEX	-	TBd7_frozen_BM-HL_HT
TBd7_BM_HR	TBd7_BM_HR	1	GEX	-	TBd7_frozen_BM-HR_HT
TBd7_frozen_BMHLa	TBd7_frozen_BMHLa	1	VDJ	-	TBd7_frozen_BM-HL_HTa
TBd7_frozen_BMHLb	TBd7_frozen_BMHLb	1	VDJ	-	TBd7_frozen_BM-HL_HTb
TBd7_frozen_BMHLoverA	TBd7_frozen_BMHLoverA	1	VDJ	-	TBd7_frozen_BM-HLover_HTa
TBd7_frozen_BMHLoverB	TBd7_frozen_BMHLoverB	1	VDJ	-	TBd7_frozen_BM-HLover_HTb
TBd7_frozen_BMHRa	TBd7_frozen_BMHRa	1	VDJ	-	TBd7_frozen_BM-HR_HTa
TBd7_frozen_BMHRb	TBd7_frozen_BMHRb	1	VDJ	-	TBd7_frozen_BM-HR_HTb
TBd7_frozen_BMHRoverA	TBd7_frozen_BMHRoverA	1	VDJ	-	TBd7_frozen_BM-HRover_HTa
TBd7_frozen_BMHRoverB	TBd7_frozen_BMHRoverB	1	VDJ	-	TBd7_frozen_BM-HRover_HTb
TBd7_frozen_PB	TBd7_frozen_PB	1	GEX	-	TBd7_frozen_PB_HT
TBd7_frozen_PBa	TBd7_frozen_PBa	1	VDJ	-	TBd7_frozen_PB_HTa
TBd7_frozen_PBb	TBd7_frozen_PBb	1	VDJ	-	TBd7_frozen_PB_HTb
TBd7_frozen_PBoverA	TBd7_frozen_PBoverA	1	VDJ	-	TBd7_frozen_PBover_HTa
TBd7_frozen_PBoverB	TBd7_frozen_PBoverB	1	VDJ	-	TBd7_frozen_PBover_HTb
